from,to,dist
Alicante/Alacant,Soria,390.6700392271506
Alicante/Alacant,Tarragona,315.46903631393104
Alicante/Alacant,Teruel,241.35857955556168
Alicante/Alacant,Toledo,361.6484869147325
Alicante/Alacant,Valencia/València,83.90196724212664
Alicante/Alacant,Valladolid,508.48211064048735
Alicante/Alacant,Vizcaya,562.4545832650456
Alicante/Alacant,Zamora,581.2230316401399
Alicante/Alacant,Zaragoza,343.2373174033807
Alicante/Alacant,Álava,506.4855548112239
Alicante/Alacant,Ávila,453.16351205095066
Almería,A Coruña,840.6159432006446
Almería,Albacete,198.37316356346352
Almería,Alicante/Alacant,232.6620098678711
Almería,Almería,0.0
Almería,Asturias,753.3944005462932
Almería,Badajoz,369.10467148272977
Almería,Barcelona,632.3814056600165
Almería,Burgos,576.0197126981884
Almería,Cantabria,693.0699828605544
Almería,Castellón/Castelló,384.95555266957047
Almería,Ceuta,294.4765811283764
Almería,Ciudad Real,229.71590759584936
Almería,Cuenca,310.2754360453701
Almería,Cáceres,437.2907370323717
Almería,Cádiz,300.02200091655806
Almería,Córdoba,220.8184510940637
Almería,Girona,709.7744176346368
Almería,Granada,88.55164172328506
Almería,Guadalajara,408.79438682112124
Almería,Guipúzcoa,667.3615327465336
Almería,Huelva,389.88054230892664
Almería,Huesca,593.5423023223175
Almería,Illes Balears,540.7734804903396
Almería,Jaén,130.28230040373987
Almería,La Rioja,577.8313048489778
Almería,León,664.2159199238479
Almería,Lleida,603.4135544069525
Almería,Lugo,783.2460869711347
Almería,Madrid,393.65424622127784
Almería,Melilla,211.56208008586796
Almería,Murcia,134.4714460202943
Almería,Málaga,202.58579186575844
Almería,Navarra,619.9666701909184
Almería,Ourense,725.0288195522353
Almería,Palencia,602.1930289462191
Almería,Pontevedra,783.5801818084049
Almería,Salamanca,508.3537319642854
Almería,Segovia,471.2104934869391
Almería,Sevilla,294.60244220700235
Almería,Soria,503.3115972601441
Almería,Tarragona,533.4785655321315
Almería,Teruel,416.10369662747866
Almería,Toledo,344.6654234955027
Almería,Valencia/València,289.1623039657808
Almería,Valladolid,541.6302082727823
Almería,Vizcaya,681.7286469127354
Almería,Zamora,588.9122709303937
Almería,Zaragoza,500.35808939816263
Almería,Álava,625.2078439412031
Almería,Ávila,446.12414393338645
Asturias,A Coruña,203.99486628326036
Asturias,Albacete,602.4117326381419
Asturias,Alicante/Alacant,708.8282679157071
Asturias,Almería,753.3944005462932
Asturias,Asturias,0.0
Asturias,Badajoz,520.6940309766229
Asturias,Barcelona,681.6160800316834
Asturias,Burgos,229.71058164091238
Asturias,Cantabria,164.2510312198871
Asturias,Castellón/Castelló,596.5017050070593
Asturias,Ceuta,832.5532464540128
Asturias,Ciudad Real,527.0449601683271
Asturias,Cuenca,491.80502392802555
Asturias,Cáceres,392.2792129163078
Asturias,Cádiz,752.2749340550904
Asturias,Córdoba,614.9550159658893
Asturias,Girona,726.2757537218899
Asturias,Granada,720.2524060555396
Asturias,Guadalajara,390.3142563567164
Asturias,Guipúzcoa,308.4628018694735
Asturias,Huelva,640.9749722023996
Asturias,Huesca,503.07540553619543
Asturias,Illes Balears,849.0897559981222
Asturias,Jaén,634.6846788358762
Asturias,La Rioja,295.97994157647236
Asturias,León,93.15015341526089
Asturias,Lleida,594.6758918934775
Asturias,Lugo,123.82952264560862
Asturias,Madrid,365.04676646138654
Asturias,Melilla,933.9036167406285
Asturias,Murcia,714.0137250424285
Asturias,Málaga,739.1848648844888
Asturias,Navarra,352.0903475634045
Asturias,Ourense,190.82939801538046
Asturias,Palencia,164.78150519275627
Asturias,Pontevedra,238.59607981988063
Asturias,Salamanca,284.6881391924202
Asturias,Segovia,288.3702011513299
Asturias,Sevilla,661.9911937970224
Asturias,Soria,339.392834391931
Asturias,Tarragona,621.3449945592388
Asturias,Teruel,516.4682331013447
Asturias,Toledo,410.80341412462906
Asturias,Valencia/València,640.2107764067707
Asturias,Valladolid,211.94240587971098
Asturias,Vizcaya,256.05412018870106
Asturias,Zamora,181.26800927228325
Asturias,Zaragoza,434.0428419112304
Asturias,Álava,275.45250789076795
Asturias,Ávila,314.34601514097835
Badajoz,A Coruña,532.1453759262387
Badajoz,Albacete,368.49080392662
Badajoz,Alicante/Alacant,496.5140678059612
Badajoz,Almería,369.10467148272977
Badajoz,Asturias,520.6940309766229
Badajoz,Badajoz,0.0
Badajoz,Barcelona,770.8451314292914
Badajoz,Burgos,451.97511546450363
Badajoz,Cantabria,543.2507261772165
Badajoz,Castellón/Castelló,536.1900765290505
Badajoz,Ceuta,318.8759490220669
Badajoz,Ciudad Real,207.99872809514568
Badajoz,Cuenca,365.6857362443345
Badajoz,Cáceres,128.42810118191295
Badajoz,Cádiz,234.60847971992357
Badajoz,Córdoba,150.66200936546184
Badajoz,Girona,846.7022027237415
Badajoz,Granada,292.03168755169764
Badajoz,Guadalajara,378.5118557726297
Badajoz,Guipúzcoa,598.7336017902716
Badajoz,Huelva,129.38811256441818
Badajoz,Huesca,646.7176060534897
Badajoz,Illes Balears,789.5170170106222
Badajoz,Jaén,247.2125043826118
Badajoz,La Rioja,505.2680309036255
Badajoz,León,429.5273922052717
Badajoz,Lleida,704.6584938107069
Badajoz,Lugo,498.62658301682967
Badajoz,Madrid,295.6587729539193
Badajoz,Melilla,472.3215124422349
Badajoz,Murcia,428.1486498970866
Badajoz,Málaga,248.087784908259
Badajoz,Navarra,581.7335572317153
Badajoz,Ourense,416.93836003373093
Badajoz,Palencia,426.43106785824637
Badajoz,Pontevedra,459.1693454889248
Badajoz,Salamanca,236.36043247049986
Badajoz,Segovia,332.91051221355315
Badajoz,Sevilla,145.93075248650922
Badajoz,Soria,454.0892466510325
Badajoz,Tarragona,667.239137282518
Badajoz,Teruel,505.2635028758062
Badajoz,Toledo,211.76522280238882
Badajoz,Valencia/València,489.61274521376356
Badajoz,Valladolid,349.302071617737
Badajoz,Vizcaya,582.7003692748992
Badajoz,Zamora,340.3581763922474
Badajoz,Zaragoza,524.0042675634573
Badajoz,Álava,540.6279293316464
Badajoz,Ávila,238.98202631824802
Barcelona,A Coruña,876.6491343395347
Barcelona,Albacete,456.300747907717
Barcelona,Alicante/Alacant,407.5500712701179
Barcelona,Almería,632.3814056600165
Barcelona,Asturias,681.6160800316834
Barcelona,Badajoz,770.8451314292914
Barcelona,Barcelona,0.0
Barcelona,Burgos,469.55231972645606
Barcelona,Cantabria,520.932230111752
Barcelona,Castellón/Castelló,253.7468210014299
Barcelona,Ceuta,905.1673702947505
Barcelona,Ciudad Real,580.0134759902687
Barcelona,Cuenca,407.3571967973148
Barcelona,Cáceres,714.0781874112563
Barcelona,Cádiz,874.8885064619278
Barcelona,Córdoba,713.5856324952035
Barcelona,Girona,78.86728532371467
Barcelona,Granada,684.7746747965999
Barcelona,Guadalajara,407.62841771048363
Barcelona,Guipúzcoa,381.71450231138334
Barcelona,Huelva,878.7698428498715
Barcelona,Huesca,178.55124476650542
Barcelona,Illes Balears,241.2074253482445
Barcelona,Jaén,624.0918149973248
Barcelona,La Rioja,390.8808397959197
Barcelona,León,652.1846779109355
Barcelona,Lleida,87.08934193532046
Barcelona,Lugo,792.6702526822639
Barcelona,Madrid,495.98627037017076
Barcelona,Melilla,831.3951606418183
Barcelona,Murcia,500.39053302687904
Barcelona,Málaga,791.6848396685734
Barcelona,Navarra,330.2554590869636
Barcelona,Ourense,809.3182761558047
Barcelona,Palencia,547.5127715951677
Barcelona,Pontevedra,878.7924291526009
Barcelona,Salamanca,675.1100858006946
Barcelona,Segovia,508.7358501068759
Barcelona,Sevilla,817.2763577039776
Barcelona,Soria,377.8353979101097
Barcelona,Tarragona,105.41753302841973
Barcelona,Teruel,265.60838225825864
Barcelona,Toledo,565.4074618416912
Barcelona,Valencia/València,343.4912830440246
Barcelona,Valladolid,569.2974825843083
